id,tip,st_sob,hisa_tip,lokacija,lokacija_podrobno,m2,leto_gradnje,leto_adaptacije,tip_ponudbe,cena
1,stanovanje,1,,podravska,"TABOR, MARIBOR",32.00,1970,,Zasebna,89.000
2,stanovanje,3,,podravska,PLINTOVEC,74.00,2009,,Agencija,235.000
3,stanovanje,3,,podravska,VRANJI VRH,83.10,2010,2010,Zasebna,141.000
4,stanovanje,4,,podravska,MARIBOR,141.10,2023,,Agencija,317.591
5,stanovanje,4,,podravska,ZGORNJA KUNGOTA,140.20,2023,,Agencija,316.255
6,stanovanje,4,,podravska,ZGORNJA KUNGOTA,133.50,2023,,Agencija,294.459
7,stanovanje,3,,podravska,TEZNO,72.40,1974,2017,Agencija,134.500
8,stanovanje,4,,podravska,ZGORNJA KUNGOTA,127.47,2023,,Agencija,287.814
9,stanovanje,3,,podravska,ZGORNJA KUNGOTA,119.80,2023,,Agencija,276.379
10,stanovanje,3,,podravska,MARIBOR,118.02,2023,,Agencija,272.999
11,stanovanje,2,,podravska,NOVA VAS,40.20,1981,2023,Zasebna,104.999
12,stanovanje,3,,podravska,TABOR,69.44,2019,,Agencija,208.000
13,stanovanje,2,,podravska,MB - CENTER,60.40,1940,2019,Zasebna,109.000
14,stanovanje,4,,podravska,MARIBOR,126.80,2009,2023,Agencija,315.000
15,stanovanje,2,,podravska,POBREŽJE,45.60,1990,,Agencija,99.900
16,stanovanje,2.5,,podravska,"ORMOŽ, CENTER",65.00,1972,,Zasebna,105.000
17,stanovanje,1.5,,podravska,SPODNJE RADVANJE,55.50,1979,,Zasebna,125.000
18,stanovanje,1,,podravska,POBREŽJE,40.50,1957,,Agencija,80.000
19,stanovanje,4,,podravska,MB - CENTER,116.60,1985,,Agencija,360.000
20,stanovanje,3,,podravska,"SLOVENSKA BISTRICA, NA SAMEM ROBU BLOKOVSKEG NASELJA",84.62,1959,,Zasebna,145.000
21,stanovanje,3,,podravska,"MB - CENTER, BLIŽINA FAKULTET IN SREDNJIH ŠOL",119.60,1910,2023,Agencija,197.000
22,stanovanje,1.5,,podravska,"TABOR, GORIŠKA 5",45.30,1969,2023,Zasebna,104.990
23,stanovanje,2,,podravska,POBREŽJE,52.60,1960,2016,Agencija,125.000
24,stanovanje,2,,podravska,ZGORNJE RADVANJE,60.00,1983,2010,Agencija,139.000
25,stanovanje,3,,podravska,"KIDRIČEVO, PTUJ OKOLICA",84.30,2023,,Agencija,169.332
26,stanovanje,1,,podravska,"MB - CENTER, KOROŠKA CESTA",45.10,1977,2016,Agencija,135.000
27,stanovanje,2.5,,podravska,"PEKRE, POD POHORJEM",84.40,1968,2013,Agencija,139.498
28,stanovanje,2,,podravska,POBREŽJE,54.00,2009,,Zasebna,150.000
29,stanovanje,2,,podravska,"PESNICA PRI MARIBORU, PESNIŠKI VRTOVI",105.90,2023,,Agencija,176.500
30,stanovanje,4,,podravska,"MB - CENTER, PRAPROTNIKOVA ULICA",94.10,1886,,Agencija,159.900
31,stanovanje,3,,podravska,PTUJ,77.30,1985,2015,Agencija,149.000
32,stanovanje,2,,podravska,TABOR,58.90,1981,2022,Agencija,129.900
33,stanovanje,1,,podravska,MB - CENTER,34.60,1988,2018,Zasebna,98.000
34,stanovanje,3,,podravska,ZGORNJA HAJDINA,114.90,1992,2015,Agencija,69.000
35,stanovanje,3.5,,podravska,NOVA VAS,84.30,1980,,Agencija,167.900
36,stanovanje,3,,podravska,PESNICA PRI MARIBORU,73.70,2022,,Agencija,239.900
37,stanovanje,3,,podravska,"KOROŠKA VRATA, KOSARJEVA",69.90,1960,2018,Agencija,189.000
38,stanovanje,3,,podravska,PTUJ,183.60,2021,,Agencija,365.949
39,stanovanje,3.5,,podravska,TABOR,133.86,2008,,Agencija,259.000
40,stanovanje,3,,podravska,NOVA VAS,74.00,1985,2017,Zasebna,185.000
41,stanovanje,2,,podravska,TABOR,53.10,1971,2023,Agencija,152.000
42,stanovanje,2,,podravska,BOROVA VAS,60.70,1983,,Agencija,139.990
43,stanovanje,2,,podravska,NOVA VAS,58.90,1979,,Agencija,136.000
44,stanovanje,3,,podravska,"TABOR, NOVI VRTOVI",75.70,2023,,Agencija,179.205
45,stanovanje,3,,podravska,SLOVENSKA BISTRICA,81.50,2009,,Agencija,175.000
46,stanovanje,1.5,,podravska,"STUDENCI, TABOR",44.20,2023,,Agencija,119.973
47,stanovanje,3,,podravska,"TABOR, ATRIJSKO",196.50,2023,,Agencija,229.245
48,stanovanje,1.5,,podravska,"TABOR, BLIZU CENTRA",79.90,2023,,Agencija,139.860
49,stanovanje,2,,podravska,TABOR,97.30,2023,,Agencija,169.130
50,stanovanje,2.5,,podravska,"MARIBOR, CENTER",75.00,2011,2011,Zasebna,247.000
51,stanovanje,2,,podravska,POBREŽJE,52.60,1960,2015,Agencija,98.990
52,stanovanje,2.5,,podravska,RAČE,79.40,1965,2000,Agencija,120.000
53,stanovanje,4,,podravska,PREPOLJE,111.50,1990,2020,Agencija,230.000
54,stanovanje,2,,podravska,MARIBOR,72.00,1898,2012,Agencija,125.000
55,stanovanje,,,podravska,TEZNO,24.10,1986,,Zasebna,61.500
56,stanovanje,1.5,,podravska,"TABOR, REGENTOVA, MARIBOR",52.20,1975,,Agencija,123.900
57,stanovanje,4,,podravska,PREPOLJE,111.50,1990,2020,Agencija,230.000
58,stanovanje,1,,podravska,MB - CENTER,42.60,1965,2022,Agencija,160.000
59,stanovanje,3,,podravska,"TABOR, MB - 3 SOBNO, 69 M2 PRODAMO",69.00,1959,2013,Agencija,139.900
60,stanovanje,2.5,,podravska,MB - CENTER,52.70,1907,2023,Agencija,102.765
61,stanovanje,3,,podravska,"PEKRE, TIK OB SMUČIŠČU",90.70,2010,,Agencija,269.999
62,stanovanje,3,,podravska,GRADIŠKA,108.00,2004,2021,Agencija,209.000
63,stanovanje,4,,podravska,ŠENTILJ V SLOVENSKIH GORICAH,112.76,2023,,Agencija,246.237
64,stanovanje,3,,podravska,ŠENTILJ V SLOVENSKIH GORICAH,88.43,2023,,Agencija,190.513
65,stanovanje,2.5,,podravska,NOVA VAS,67.80,1979,2006,Agencija,144.900
66,stanovanje,3,,podravska,TABOR,66.10,1970,,Agencija,135.000
67,stanovanje,2.5,,podravska,SPODNJE HOČE,55.17,1965,2005,Agencija,129.000
68,stanovanje,3,,podravska,"TABOR, HLEBOVA ULICA 8",76.00,1967,2023,Zasebna,140.000
69,stanovanje,2,,podravska,TEZNO,53.00,1963,2018,Zasebna,118.000
70,stanovanje,1,,podravska,BOROVA VAS,41.10,1982,2017,Zasebna,95.500
71,stanovanje,2,,podravska,TABOR,51.50,1959,2020,Zasebna,132.990
72,stanovanje,2,,podravska,"TABOR, TOP LOKACIJA MB",52.52,1954,2023,Agencija,129.000
73,stanovanje,3,,podravska,TABOR,73.40,1979,,Zasebna,169.000
74,stanovanje,2.5,,podravska,GORIŠNICA,57.00,1957,2017,Zasebna,90.000
75,stanovanje,3,,podravska,TEZNO,72.40,1974,2014,Agencija,134.900
76,stanovanje,3,,podravska,"MARIBOR, NASELJE BOLFENK",87.90,2010,,Agencija,309.000
77,stanovanje,3,,podravska,"POBREŽJE, OBNOVLJENO 3 - SOBNO",71.30,1977,,Agencija,149.900
78,stanovanje,2.5,,podravska,"POBREŽJE, OBNOVLJENO 2, 5 - SOBNO STANOVANJE",71.00,1975,2023,Agencija,134.900
79,stanovanje,2,,podravska,TABOR,72.00,1904,2018,Zasebna,148.000
80,stanovanje,2.5,,podravska,"TABOR, BLIŽINA CENTRA",55.20,1975,2023,Agencija,135.000
81,stanovanje,2,,podravska,STUDENCI,72.70,2020,,Agencija,235.000
82,stanovanje,2,,podravska,TABOR,52.60,1962,,Agencija,114.900
83,stanovanje,3,,podravska,MIKLAVŽ NA DRAVSKEM POLJU,99.10,2009,,Agencija,199.000
84,stanovanje,4,,podravska,MB - CENTER,136.44,1902,,Agencija,259.000
85,stanovanje,2,,podravska,TEZNO,53.00,1963,,Agencija,118.000
86,stanovanje,2,,podravska,NOVA VAS,63.70,1978,,Agencija,138.000
87,stanovanje,4,,podravska,MELJE,78.00,1948,,Zasebna,150.000
88,stanovanje,1,,podravska,KOROŠKA VRATA,48.60,1980,2020,Zasebna,109.900
89,stanovanje,4,,podravska,"MB - CENTER, STROGI, PEŠ CONA",157.50,2012,2022,Agencija,287.100
90,stanovanje,4,,podravska,KRIVI VRH,120.58,2023,,Agencija,258.900
91,stanovanje,4,,podravska,"MB - CENTER, STROGI, PEŠ CONA",114.70,2012,2022,Agencija,237.500
92,stanovanje,1,,podravska,MB - CENTER,39.60,1911,2023,Agencija,94.000
93,stanovanje,1,,podravska,KRIVI VRH,33.48,2023,,Agencija,92.510
94,stanovanje,3,,podravska,KRIVI VRH,77.82,2023,,Agencija,172.813
95,stanovanje,3,,podravska,KRIVI VRH,87.27,2023,,Agencija,193.180
96,stanovanje,2,,podravska,KRIVI VRH,68.58,2023,,Agencija,152.479
97,stanovanje,4,,podravska,KRIVI VRH,126.81,2023,,Agencija,259.433
98,stanovanje,2,,podravska,TABOR,55.00,1920,2020,Zasebna,93.000
99,stanovanje,3,,podravska,TABOR,53.00,1950,2023,Zasebna,104.499
100,stanovanje,2,,podravska,TABOR,52.00,1962,,Zasebna,105.000
101,stanovanje,2,,podravska,"STUDENCI, MARIBOR",50.60,1975,,Zasebna,135.000
102,stanovanje,1,,podravska,SPODNJE RADVANJE,46.50,1990,,Agencija,92.000
103,stanovanje,3,,podravska,MARIBOR,89.70,1923,2017,Agencija,96.000
104,stanovanje,2,,podravska,TEZNO,59.60,1976,2020,Agencija,129.900
105,stanovanje,3,,podravska,TABOR,71.00,1981,,Agencija,154.900
106,stanovanje,3,,podravska,NOVA VAS,77.90,1981,,Agencija,145.000
107,stanovanje,2,,podravska,MB - CENTER,49.19,1967,,Zasebna,130.000
108,stanovanje,3,,podravska,KIDRIČEVO,84.30,2023,,Agencija,169.332
109,stanovanje,3,,podravska,STUDENCI,85.70,1967,2015,Agencija,155.990
110,stanovanje,1.5,,podravska,"KOROŠKA VRATA, MB CENTER",42.30,1979,2023,Agencija,126.900
111,stanovanje,3,,podravska,SPODNJE RADVANJE,72.90,1981,,Agencija,149.000
112,stanovanje,1.5,,podravska,SV. TROJICA V SLOVENSKIH GORICAH,46.80,1979,,Zasebna,69.900
113,stanovanje,2,,podravska,STUDENCI,54.70,1939,2017,Agencija,109.500
114,stanovanje,2,,podravska,PEKRE,48.10,2010,2023,Agencija,173.000
115,stanovanje,3,,podravska,BEZENA,180.50,2003,,Agencija,99.990
116,stanovanje,2,,podravska,POBREŽJE,57.20,1960,,Agencija,108.000
117,stanovanje,3.5,,podravska,"MB - CENTER, NEPOSREDNA BLIŽINA UKC",88.60,2008,,Agencija,239.900
118,stanovanje,2,,podravska,"TABOR, MIRNA LOKACIJA",46.90,1951,2006,Agencija,124.900
119,stanovanje,3,,podravska,SPODNJE RADVANJE,70.10,1980,,Agencija,86.000
120,stanovanje,3.5,,podravska,SPODNJE RADVANJE,70.50,1980,,Agencija,87.000
121,stanovanje,1.5,,podravska,"HOČKO POHORJE, MARIBOR",39.50,2022,,Zasebna,79.500
122,stanovanje,3.5,,podravska,TABOR,82.90,2024,,Agencija,270.000
123,stanovanje,4,,podravska,"SLOVENSKA BISTRICA, PARTIZANSKA ULICA, BIS",119.90,2016,,Agencija,285.000
124,stanovanje,2,,podravska,PTUJ,46.60,1961,,Agencija,110.000
125,stanovanje,2,,podravska,"MARIBOR, TABOR, BEOGRAJSKA ULICA",99.05,1938,2018,Agencija,148.000
126,stanovanje,1,,podravska,"MARIBOR, TABOR, BEOGRAJSKA ULICA",47.18,1938,2018,Agencija,128.000
127,stanovanje,3,,podravska,SLIVNICA PRI MARIBORU,75.70,2024,,Agencija,212.877
128,stanovanje,3,,podravska,"MARIBOR, SLIVNICA PRI MARIBORU",75.70,2024,,Agencija,212.877
129,stanovanje,2.5,,podravska,MB - CENTER,72.60,1914,,Agencija,144.000
130,stanovanje,2,,podravska,TABOR,53.30,2024,,Agencija,170.000
131,stanovanje,2,,podravska,PESNICA PRI MARIBORU,105.90,2023,,Agencija,176.500
132,stanovanje,3.5,,podravska,TABOR,82.90,2024,,Agencija,270.000
133,stanovanje,2,,podravska,"MB - CENTER, MESTA, PARKIRNO MESTO",62.40,1893,2018,Agencija,150.800
134,stanovanje,2.5,,podravska,BETNAVA,72.81,2009,2023,Zasebna,179.000
135,stanovanje,2,,podravska,STUDENCI,100.85,2020,,Agencija,225.000
136,stanovanje,3,,podravska,KIDRIČEVO,84.32,2024,,Agencija,169.332
137,stanovanje,2,,podravska,POBREŽJE,51.80,1964,2013,Agencija,105.000
138,stanovanje,2.5,,podravska,SELNICA OB DRAVI,57.20,1964,2014,Zasebna,118.000
139,stanovanje,3,,podravska,ŠENTILJ V SLOVENSKIH GORICAH,86.97,2023,,Agencija,188.237
140,stanovanje,3,,podravska,ŠENTILJ V SLOVENSKIH GORICAH,153.95,2023,,Agencija,253.140
141,stanovanje,3,,podravska,POBREŽJE,90.00,2009,,Agencija,236.000
142,stanovanje,2,,podravska,TABOR,58.80,1970,,Agencija,144.000
143,stanovanje,2,,podravska,"SLOVENSKA BISTRICA, V CENTRU MESTA",70.20,1969,2018,Agencija,139.960
144,stanovanje,2,,podravska,PTUJ,46.60,1961,2015,Agencija,110.000
145,stanovanje,3,,podravska,"TABOR, 3 SOBNO MARIBOR, BLIŽINA UKC",79.10,1887,2023,Agencija,157.080
146,stanovanje,4,,podravska,MARIBOR,147.00,2009,,Agencija,369.000
147,stanovanje,2,,podravska,TABOR,51.50,1959,,Agencija,126.000
148,stanovanje,3,,podravska,PTUJ,67.15,1984,2023,Zasebna,138.000
149,stanovanje,4,,podravska,PESNICA PRI MARIBORU,97.90,2024,,Agencija,198.000
150,stanovanje,3,,podravska,MB - CENTER,83.00,1939,2014,Agencija,246.000
